,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
69,Harrison Frazar,88,71.569,302.8,55.07,63.63,-.439,.011,-.429,"2,710",2,,2007,"$698,534",USA
70,Heath Slocum,101,69.948,279.6,73.28,66.45,.220,.659,.879,"9,132",6,,2007,"$2,184,379",USA
71,Henrik Stenson,52,70.935,296.3,56.97,61.23,.300,-.012,.288,"6,948",2,1,2007,"$1,897,554",SWE
72,Hunter Mahan,91,69.990,296.7,68.05,66.91,.213,.419,.632,"13,380",6,1,2007,"$2,858,995",USA
73,Ian Poulter,63,70.073,282.5,63.23,61.67,-.038,.958,.920,"6,884",5,,2007,"$1,431,390",ENG
74,J.B. Holmes,71,71.377,312.6,58.70,64.57,-.559,.223,-.336,"3,035",3,,2007,"$874,216",USA
75,J.J. Henry,86,70.506,294.4,63.96,66.67,.024,.450,.473,"3,624",2,,2007,"$1,088,660",USA
76,J.P. Hayes,89,71.065,291.9,61.26,62.92,-.002,.297,.295,"2,767",3,,2007,"$890,815",USA
77,Jaco Van Zyl,51,72.691,285.3,68.61,63.95,-.418,-.723,-1.141,224,,,2007,"$53,763",RSA
78,Jarrod Lyle,77,71.142,292.6,60.84,64.61,.149,.021,.170,869,,,2007,"$390,303",AUS
79,Jason Bohn,57,70.614,287.1,65.20,65.01,-.185,.534,.348,"2,334",,,2007,"$527,512",USA
80,Jason Dufner,100,71.154,289.7,60.74,65.06,-.089,.077,-.012,"2,530",1,,2007,"$574,992",USA
81,Jason Gore,86,70.969,303.0,63.33,65.57,.100,.108,.208,"4,483",3,,2007,"$1,105,985",USA
82,Jason Schultz,63,71.690,295.7,60.61,62.24,.022,-.495,-.474,504,,,2007,"$163,244",USA
83,Jeff Brehaut,59,71.754,291.2,66.04,65.11,-.250,-.397,-.647,711,,,2007,"$202,389",USA
84,Jeff Gove,103,71.146,290.5,65.67,70.17,-.774,.812,.038,"1,763",1,,2007,"$526,644",USA
85,Jeff Maggert,79,71.195,284.2,65.73,66.53,-.066,.019,-.047,"3,304",1,,2007,"$845,585",USA
86,Jeff Overton,60,70.339,299.3,63.66,68.87,.060,.822,.882,"2,977",3,,2007,"$1,009,630",USA
87,Jeff Quinney,95,71.112,281.5,65.99,65.61,.067,-.104,-.037,"6,160",5,,2007,"$1,612,056",USA
88,Jeff Sluman,60,71.758,280.5,59.41,61.01,-.313,-.335,-.648,"1,030",1,,2007,"$273,192",USA
89,Jerry Kelly,101,70.313,281.0,68.28,64.83,-.227,.848,.621,"8,259",7,,2007,"$1,978,034",USA
90,Jesper Parnevik,88,70.629,288.5,62.31,66.53,.979,-.375,.604,"1,976",1,,2007,"$1,075,216",SWE
91,Jim Furyk,84,69.474,279.7,74.37,69.44,-.083,1.202,1.119,"19,214",8,1,2007,"$4,154,046",USA
92,Jim Rutledge,59,72.679,288.5,67.27,64.24,-.425,-1.042,-1.466,178,,,2007,"$62,242",CAN
93,Joe Durant,88,71.038,284.3,73.71,68.52,-.901,.880,-.021,"2,500",,,2007,"$723,599",USA
94,Joe Ogilvie,102,70.761,289.5,61.23,61.68,.351,.073,.425,"4,311",2,1,2007,"$1,339,153",USA
95,Joey Sindelar,75,71.664,287.1,65.29,66.67,-.102,-.171,-.273,"1,160",,,2007,"$310,717",USA
96,John Daly,59,71.927,312.9,41.86,61.30,-.297,-.478,-.775,"1,081",,,2007,"$248,501",USA
97,John Mallinger,96,71.085,280.9,69.91,62.96,.068,-.068,.000,"5,888",4,,2007,"$1,681,764",USA
98,John Merrick,92,71.265,297.1,61.41,69.13,-.409,.385,-.025,"2,358",1,,2007,"$649,438",USA
99,John Rollins,102,70.419,290.4,64.81,63.64,.104,.413,.517,"10,577",4,,2007,"$2,488,891",USA
100,John Senden,97,70.566,294.2,65.91,70.33,-.250,.778,.528,"6,268",5,,2007,"$1,899,558",AUS
101,Johnson Wagner,97,71.144,285.5,64.18,67.75,-.229,.424,.195,"2,420",2,,2007,"$1,013,024",USA
102,Jonathan Byrd,73,70.488,292.0,59.84,63.55,.296,.213,.510,"9,969",4,1,2007,"$1,854,906",USA
103,José Coceres,50,70.737,273.0,75.47,61.96,-.283,.245,-.038,"4,980",3,,2007,"$1,287,843",ARG
104,José María Olazábal,52,71.521,276.0,50.50,54.33,.481,-.945,-.464,"3,202",1,,2007,"$979,249",ESP
105,Justin Leonard,95,70.527,282.7,70.05,64.80,.124,.393,.517,"3,998",5,1,2007,"$2,079,248",USA
106,Justin Rose,63,69.301,288.7,63.93,65.73,.061,.816,.878,"12,682",7,,2007,"$2,705,875",ENG
107,K.J. Choi,87,69.611,284.1,64.71,65.29,.518,.874,1.392,"21,750",7,2,2007,"$4,587,859",KOR
108,Ken Duke,112,70.628,288.4,67.50,65.58,.100,.439,.539,"6,656",5,,2007,"$1,927,102",USA
109,Kenny Perry,83,70.369,299.6,64.61,67.54,-.337,.981,.643,"5,550",3,,2007,"$1,197,618",USA
