,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
725,Scott McCarron,90,70.94,288.6,67.36,65.8,0.507,-0.35700000000000004,0.155,354,1,0,2010,642543,USA
726,Scott Piercy,88,71.196,296.8,56.03,67.74,0.215,-0.22,-0.004,380,2,0,2010,676432,USA
727,Scott Verplank,74,70.83800000000001,278.6,68.16,63.85,0.034,0.32299999999999995,0.36,813,3,0,2010,1653190,USA
728,Sean O'Hair,84,70.60300000000001,289.3,63.98,68.22,-0.071,0.6970000000000001,0.615,1206,3,0,2010,1859040,USA
729,Sergio Garcia,58,71.07600000000001,292.7,63.75,66.13,-0.36,0.424,0.068,461,1,0,2010,936845,ESP
730,Shaun Micheel,70,70.499,283.2,62.67,64.61,0.235,0.251,0.48700000000000004,600,3,0,2010,1025500,USA
731,Skip Kendall,58,71.64,279.5,69.63,62.56,0.33299999999999996,-1.168,-0.8320000000000001,159,1,0,2010,304439,USA
732,Spencer Levin,110,70.385,280.6,65.12,69.88,0.132,0.433,0.564,673,3,0,2010,1199672,USA
733,Stephen Ames,75,70.639,282.0,66.47,67.79,0.375,0.18600000000000003,0.5529999999999999,866,1,0,2010,916527,CAN
734,Steve Elkington,74,70.318,289.2,68.01,68.71,0.32799999999999996,0.226,0.557,571,3,0,2010,955084,AUS
735,Steve Flesch,78,72.041,277.4,66.02,62.76,-0.078,-0.57,-0.6509999999999999,272,1,0,2010,440374,USA
736,Steve Lowery,67,72.202,286.2,61.9,65.52,-0.386,-0.794,-1.177,67,0,0,2010,118602,USA
737,Steve Marino,81,70.875,290.6,61.96,67.49,0.261,0.307,0.5670000000000001,778,3,0,2010,1479239,USA
738,Steve Stricker,73,69.66,282.9,68.5,68.29,0.43700000000000006,1.383,1.818,2028,9,2,2010,4190235,USA
739,Steve Wheatcroft,74,71.53,287.1,64.12,63.47,0.21100000000000002,-0.833,-0.626,213,1,0,2010,408595,USA
740,Stewart Cink,84,70.431,292.4,63.98,68.61,0.19,0.628,0.8270000000000001,1448,3,0,2010,1573636,USA
741,Stuart Appleby,101,70.954,289.0,59.75,61.84,-0.055999999999999994,0.18899999999999997,0.13,1157,3,1,2010,1965825,AUS
742,Ted Purdy,86,71.824,290.8,60.61,63.96,-0.114,-0.784,-0.892,244,0,0,2010,307677,USA
743,Tim Clark,88,70.24600000000001,272.2,73.72,66.73,0.26899999999999996,0.564,0.8320000000000001,593,7,1,2010,3530002,RSA
744,Tim Herron,79,71.171,291.7,53.49,66.51,0.171,-0.4,-0.22699999999999998,234,0,0,2010,391502,USA
745,Tim Petrovic,105,70.992,278.7,67.37,66.35,-0.006,0.255,0.249,937,2,0,2010,1028960,USA
746,Tom Gillis,97,70.514,288.7,68.54,65.98,0.359,0.261,0.616,1276,3,0,2010,1166146,USA
747,Tom Pernice Jr.,74,70.757,280.0,66.95,69.78,-0.165,0.284,0.121,331,1,0,2010,662730,USA
748,Trevor Immelman,55,71.16199999999999,286.4,64.07,66.06,0.07400000000000001,-0.401,-0.324,266,0,0,2010,422171,RSA
749,Troy Matteson,84,71.31,296.3,60.36,71.43,-0.445,0.287,-0.157,575,2,0,2010,736060,USA
750,Troy Merritt,86,71.486,288.2,59.37,65.48,0.512,-0.9540000000000001,-0.43700000000000006,331,1,0,2010,786977,USA
751,Vance Veazey,58,72.32300000000001,284.3,55.88,62.71,-0.109,-1.329,-1.444,73,0,0,2010,111370,USA
752,Vaughn Taylor,87,70.794,284.4,68.26,68.33,-0.055999999999999994,0.446,0.387,1495,6,0,2010,1838861,USA
753,Vijay Singh,75,70.343,292.3,63.28,68.62,-0.7390000000000001,1.494,0.753,1108,2,0,2010,1334262,FIJ
754,Webb Simpson,98,70.683,285.4,60.47,66.16,0.37,-0.2,0.16899999999999998,628,2,0,2010,972962,USA
755,Will MacKenzie,72,70.918,290.8,66.33,68.52,-0.44799999999999995,0.644,0.20199999999999999,267,1,0,2010,557504,USA
756,Woody Austin,93,71.12100000000001,281.1,66.48,67.92,-0.063,0.094,0.034,394,3,0,2010,727352,USA
757,Y.E. Yang,72,71.033,288.6,64.31,65.95,0.188,-0.019,0.166,923,2,0,2010,1301726,KOR
758,Zach Johnson,93,70.527,279.7,71.24,66.54,0.583,0.21,0.792,683,3,1,2010,2916993,USA
759,�?ngel Cabrera,64,70.919,304.5,54.49,65.78,-0.14800000000000002,0.4,0.249,1082,2,0,2010,1266440,ARG
760,Aaron Baddeley,77,70.23,296.2,55.67,65.48,0.324,0.8240000000000001,1.148,1007,5,1,2011,3094693,AUS
761,Adam Scott,60,69.872,299.7,63.98,68.08,-0.247,0.882,0.635,778,7,1,2011,3764797,AUS
762,Alex Cejka,59,71.178,280.3,66.42,66.1,-0.665,0.527,-0.138,303,0,0,2011,344902,GER
763,Alex Prugh,82,71.904,298.6,57.35,65.95,-0.5820000000000001,-0.375,-0.958,209,0,0,2011,292070,USA
764,Alexandre Rocha,65,71.262,290.9,62.23,68.23,-0.001,-0.374,-0.375,127,0,0,2011,225026,BRA
765,Andres Gonzales,60,71.634,293.1,61.49,64.42,0.14300000000000002,-0.795,-0.652,93,0,0,2011,186847,USA
766,Andres Romero,77,70.495,294.7,57.8,63.41,0.4,0.07400000000000001,0.474,939,4,0,2011,1313133,ARG
767,Anthony Kim,72,70.775,294.2,46.99,61.58,0.239,-0.31,-0.071,702,2,0,2011,1085846,USA
768,Arjun Atwal,91,71.444,284.8,56.31,63.25,0.044000000000000004,-0.45299999999999996,-0.409,459,1,0,2011,690237,IND
769,Aron Price,58,70.729,282.6,70.29,67.09,0.094,0.18600000000000003,0.28,272,0,0,2011,333290,AUS
770,Ben Crane,76,70.434,284.9,67.06,66.36,0.134,0.35600000000000004,0.49,561,4,1,2011,1679595,USA
771,Ben Curtis,66,70.839,276.7,71.91,65.82,0.239,-0.049,0.19,304,0,0,2011,423466,USA
772,Ben Martin,74,71.419,289.5,63.43,64.76,0.406,-0.6809999999999999,-0.275,242,1,0,2011,340080,USA
773,Bill Haas,93,70.135,296.6,63.59,69.44,0.165,0.752,0.9159999999999999,2760,7,1,2011,4088637,USA
774,Bill Lunde,92,71.046,291.5,61.11,69.38,0.003,0.057,0.06,668,0,0,2011,639548,USA
775,Billy Horschel,75,71.512,291.0,66.22,67.07,-0.024,-0.168,-0.192,197,2,0,2011,533024,USA
776,Billy Mayfair,94,70.747,283.3,70.41,68.77,-0.237,0.621,0.385,353,2,0,2011,780578,USA
777,Bio Kim,71,71.696,296.1,52.87,59.49,0.033,-0.8859999999999999,-0.8540000000000001,179,0,0,2011,345588,KOR
778,Blake Adams,116,70.7,292.1,65.79,65.48,0.475,-0.064,0.41100000000000003,985,4,0,2011,1100558,USA
779,Bo Van Pelt,92,70.092,297.4,63.59,68.02,-0.16699999999999998,1.034,0.867,610,5,0,2011,2344546,USA
780,Bobby Gates,82,71.616,297.4,60.1,64.71,-0.452,-0.445,-0.898,256,3,0,2011,666735,USA
